date,value
2015-01-02,78.45
2015-01-05,77.19
2015-01-06,76.15
2015-01-07,76.15
2015-01-08,78.175
2015-01-09,77.74
2015-01-12,76.72
2015-01-13,76.45
2015-01-14,76.28
2015-01-15,74.05
2015-01-16,75.18
2015-01-20,76.24
2015-01-21,76.74
2015-01-22,77.65
2015-01-23,77.83
2015-01-26,77.495
2015-01-27,75.78
2015-01-28,76.24
2015-01-29,78.0
2015-01-30,75.91
2015-02-02,74.99
2015-02-03,75.4
2015-02-04,75.63
2015-02-05,75.615
2015-02-06,74.47
2015-02-09,74.44
2015-02-10,75.19
2015-02-11,76.51
2015-02-12,76.23
2015-02-13,75.74
2015-02-17,75.6
2015-02-18,76.71
2015-02-19,79.42
2015-02-20,79.895
2015-02-23,78.84
2015-02-24,78.45
2015-02-25,79.56
2015-02-26,80.41
2015-02-27,78.97
