date,value
2015-01-02,219.31
2015-01-05,210.09
2015-01-06,211.28
2015-01-07,210.95
2015-01-08,210.615
2015-01-09,206.66
2015-01-12,202.21
2015-01-13,204.25
2015-01-14,192.69
2015-01-15,191.87
2015-01-16,193.07
2015-01-20,191.93
2015-01-21,196.57
2015-01-22,201.62
2015-01-23,201.29
2015-01-26,206.55
2015-01-27,205.98
2015-01-28,199.37
2015-01-29,205.2
2015-01-30,203.6
2015-02-02,210.94
2015-02-03,218.36
2015-02-04,218.55
2015-02-05,220.99
2015-02-06,217.36
2015-02-09,217.48
2015-02-10,216.29
2015-02-11,212.8
2015-02-12,202.88
2015-02-13,203.77
2015-02-17,204.35
2015-02-18,204.46
2015-02-19,211.705
2015-02-20,217.11
2015-02-23,207.335
2015-02-24,204.11
2015-02-25,203.76
2015-02-26,207.19
2015-02-27,203.34
